rank,accel_std,meas_std,gate_chi2,rms_error_m,max_error_m,mean_error_m,accepted,rejected
1,1.4,0.05,5.991,0.18814429880734151,1.3160746990363774,0.06763982707551833,1560,0
2,1.4,0.05,9.21,0.18814429880734151,1.3160746990363774,0.06763982707551833,1560,0
3,1.4,0.05,11.829,0.18814429880734151,1.3160746990363774,0.06763982707551833,1560,0
4,0.8,0.03,9.21,0.18820837714092295,1.3120450739235385,0.06766117581817477,1560,0
5,0.8,0.03,11.829,0.18820837714092295,1.3120450739235385,0.06766117581817477,1560,0
6,0.8,0.03,5.991,0.18827935551524744,1.3120450739243084,0.06820713760263185,1539,21
7,2.0,0.08,5.991,0.18844729808689306,1.3076393918876439,0.06773806645061413,1560,0
8,2.0,0.08,9.21,0.18844729808689306,1.3076393918876439,0.06773806645061413,1560,0
9,2.0,0.08,11.829,0.18844729808689306,1.3076393918876439,0.06773806645061413,1560,0
10,1.0,0.03,9.21,0.18874932941273107,1.3357813986487843,0.06789428005276268,1560,0
11,1.0,0.03,11.829,0.18874932941273107,1.3357813986487843,0.06789428005276268,1560,0
12,1.0,0.03,5.991,0.18880328804404073,1.3357813986487244,0.06831525797894698,1541,19
13,2.8,0.12,5.991,0.1888948412497112,1.304024750231253,0.06792689797319902,1560,0
14,2.8,0.12,9.21,0.1888948412497112,1.304024750231253,0.06792689797319902,1560,0
15,2.8,0.12,11.829,0.1888948412497112,1.304024750231253,0.06792689797319902,1560,0
16,2.8,0.08,5.991,0.1891491681973813,1.3428568547388082,0.06803460673271594,1560,0
17,2.8,0.08,9.21,0.1891491681973813,1.3428568547388082,0.06803460673271594,1560,0
18,2.8,0.08,11.829,0.1891491681973813,1.3428568547388082,0.06803460673271594,1560,0
19,1.0,0.05,5.991,0.19057592859319744,1.2996012711576157,0.0686448930084475,1560,0
20,1.0,0.05,9.21,0.19057592859319744,1.2996012711576157,0.0686448930084475,1560,0
21,1.0,0.05,11.829,0.19057592859319744,1.2996012711576157,0.0686448930084475,1560,0
22,2.0,0.05,5.991,0.19073448494430392,1.36581127687249,0.06859120593292355,1560,0
23,2.0,0.05,9.21,0.19073448494430392,1.36581127687249,0.06859120593292355,1560,0
24,2.0,0.05,11.829,0.19073448494430392,1.36581127687249,0.06859120593292355,1560,0
25,1.4,0.08,5.991,0.19274304038520093,1.2992509471585671,0.069681209614072,1560,0
26,1.4,0.08,9.21,0.19274304038520093,1.2992509471585671,0.069681209614072,1560,0
27,1.4,0.08,11.829,0.19274304038520093,1.2992509471585671,0.069681209614072,1560,0
28,1.4,0.03,9.21,0.1933688496376997,1.3987152975582482,0.0694770897977194,1560,0
29,1.4,0.03,11.829,0.1933688496376997,1.3987152975582482,0.0694770897977194,1560,0
30,1.4,0.03,5.991,0.19341156140244226,1.3987152975582482,0.06979899606276063,1547,13
31,2.0,0.12,5.991,0.1936876894005826,1.299809033268439,0.07017512643133045,1560,0
32,2.0,0.12,9.21,0.1936876894005826,1.299809033268439,0.07017512643133045,1560,0
33,2.0,0.12,11.829,0.1936876894005826,1.299809033268439,0.07017512643133045,1560,0
34,0.8,0.05,5.991,0.19453629300890976,1.3005297223155896,0.07060860457805201,1560,0
35,0.8,0.05,9.21,0.19453629300890976,1.3005297223155896,0.07060860457805201,1560,0
36,0.8,0.05,11.829,0.19453629300890976,1.3005297223155896,0.07060860457805201,1560,0
37,2.8,0.05,5.991,0.1973395992149859,1.4456604417138315,0.07078210629489315,1560,0
38,2.8,0.05,9.21,0.1973395992149859,1.4456604417138315,0.07078210629489315,1560,0
39,2.8,0.05,11.829,0.1973395992149859,1.4456604417138315,0.07078210629489315,1560,0
40,1.0,0.08,5.991,0.20073668164946173,1.3091880239470792,0.07421070945249238,1560,0
41,1.0,0.08,9.21,0.20073668164946173,1.3091880239470792,0.07421070945249238,1560,0
42,1.0,0.08,11.829,0.20073668164946173,1.3091880239470792,0.07421070945249238,1560,0
43,2.0,0.03,9.21,0.20163391657907576,1.49721334068771,0.07231350154357487,1560,0
44,2.0,0.03,11.829,0.20163391657907576,1.49721334068771,0.07231350154357487,1560,0
45,2.0,0.03,5.991,0.20168243620182402,1.4972133406877104,0.07263736212794843,1549,11
46,1.4,0.12,5.991,0.20277411575998497,1.3127833351141078,0.07552990994225568,1560,0
47,1.4,0.12,9.21,0.20277411575998497,1.3127833351141078,0.07552990994225568,1560,0
48,1.4,0.12,11.829,0.20277411575998497,1.3127833351141078,0.07552990994225568,1560,0
49,0.8,0.08,5.991,0.2077727585610463,1.3225136691181156,0.07895905070113077,1560,0
50,0.8,0.08,9.21,0.2077727585610463,1.3225136691181156,0.07895905070113077,1560,0
51,0.8,0.08,11.829,0.2077727585610463,1.3225136691181156,0.07895905070113077,1560,0
52,2.8,0.03,9.21,0.20980065980611637,1.6089777228938364,0.07552559671064883,1560,0
53,2.8,0.03,11.829,0.20980065980611637,1.6089777228938364,0.07552559671064883,1560,0
54,2.8,0.03,5.991,0.20984587430961638,1.6089777228938371,0.07580985662670046,1550,10
55,1.0,0.12,5.991,0.2144744354432944,1.3370162057301846,0.08405325107297255,1560,0
56,1.0,0.12,9.21,0.2144744354432944,1.3370162057301846,0.08405325107297255,1560,0
57,1.0,0.12,11.829,0.2144744354432944,1.3370162057301846,0.08405325107297255,1560,0
58,0.8,0.12,5.991,0.22389209107939895,1.3921766415724262,0.09184546409761295,1560,0
59,0.8,0.12,9.21,0.22389209107939895,1.3921766415724262,0.09184546409761295,1560,0
60,0.8,0.12,11.829,0.22389209107939895,1.3921766415724262,0.09184546409761295,1560,0
